,,S,1,,2,,3
When was hydralazine discovered?,179,O,"In 1952 researchers at Ciba discovered the first orally available vasodilator, hydralazine.",O,"In 1952 researchers at Ciba discovered the first orally available vasodilator, hydralazine.",O,"In 1952 researchers at Ciba discovered the first orally available vasodilator, hydralazine."
What virus caused tumors in many mammals?,179,O,"In 1960 Maurice Hilleman of Merck Sharp & Dohme identified the SV40 virus, which was later shown to cause tumors in many mammalian species.",O,"In 1960 Maurice Hilleman of Merck Sharp & Dohme identified the SV40 virus, which was later shown to cause tumors in many mammalian species.",O,"In 1960 Maurice Hilleman of Merck Sharp & Dohme identified the SV40 virus, which was later shown to cause tumors in many mammalian species."
What is the name of lateral-cut disc records?,282,O,"Lateral-cut disc records were developed in the United States by Emile Berliner, who named his system the ""gramophone"", distinguishing it from Edison's wax cylinder ""phonograph"" and Columbia's wax cylinder ""graphophone"".",X,"By 1919 the basic patents for the manufacture of lateral-cut disc records had expired, opening the field for countless companies to produce them.",O,"By 1919 the basic patents for the manufacture of lateral-cut disc records had expired, opening the field for countless companies to produce them."
What is the goal of the NIBRS?,151,U,"Under the roof of the CJIS are the programs for the National Crime Information Center (NCIC), Uniform Crime Reporting (UCR), Fingerprint Identification, Integrated Automated Fingerprint Identification System (IAFIS), NCIC 2000, and the National Incident-Based Reporting System (NIBRS).",X,"The British goal was said to be for efficient administration but the people of Bengal were outraged at the apparent ""divide and rule"" strategy.",?,"As of 2004, 5,271 law enforcement agencies submitted NIBRS data."
Who killed Filiberto Ojeda RÃ­os?,151,O,"In 2005, fugitive Puerto Rican Nationalist leader Filiberto Ojeda Ríos died in a gun battle with FBI agents in 2005 in what some charged was an assassination.",O,"In 2005, fugitive Puerto Rican Nationalist leader Filiberto Ojeda Ríos died in a gun battle with FBI agents in 2005 in what some charged was an assassination.",O,"In 2005, fugitive Puerto Rican Nationalist leader Filiberto Ojeda Ríos died in a gun battle with FBI agents in 2005 in what some charged was an assassination."
Who designed the learning buildings at Eton?,288,X,"The Brent-Eton Summer School, started in 1994, offers 40-50 young people from the London Borough of Brent, an area of inner-city deprivation, an intensive one-week residential course, free of charge, designed to help bridge the gap between GCSE and A-level.",X,Pinaud's experience in boat-building enabled him to make useful design changes to the HD-4.,X,The Brazilian landscape architect Roberto Burle Marx designed landmark modernist gardens for some of the principal buildings.
What compound was discovered to induce sleep?,179,U,"In 1903 Hermann Emil Fischer and Joseph von Mering disclosed their discovery that diethylbarbituric acid, formed from the reaction of diethylmalonic acid, phosphorus oxychloride and urea, induces sleep in dogs.",X,"One of the primary functions of sleep is thought to be the improvement of the consolidation of information, as several studies have demonstrated that memory depends on getting sufficient sleep between training and test.",U,"The discovery was patented and licensed to Bayer pharmaceuticals, which marketed the compound under the trade name Veronal as a sleep aid beginning in 1904."
,,20,,18,,19,
,,6,,9,,7,
,,4,,3,,3,
